Concept ID,SQL Concept,Book Chapter,"Skill Layer (1=Foundation, 3=Advanced)",Concept Category,First Learned Date,Notes
C001,SELECT and FROM basics,Ch 2,1,Core Syntax,2024-01-08,Foundation of every query
C002,WHERE clause filtering,Ch 3,1,Core Syntax,2024-01-09,Must be solid before JOINs
C003,ORDER BY and LIMIT,Ch 3,1,Core Syntax,2024-01-10,Often tested in interviews
C004,"Aggregate functions (COUNT, SUM, AVG)",Ch 5,1,Aggregation,2024-01-12,Ch 16: appears in all 5 interview question types
C005,GROUP BY and HAVING,Ch 5,2,Aggregation,2024-01-14,Common cognitive overload point — layer carefully
C006,INNER JOIN,Ch 6,2,Joins,2024-01-17,Build on C001–C003 being consolidated first
C007,LEFT JOIN and NULL handling,Ch 6,2,Joins,2024-01-19,Production data often relies on LEFT JOIN logic
C008,Subqueries,Ch 8,2,Advanced Querying,2024-01-23,"Active recall: write from memory, not recognition"
C009,"Window functions (ROW_NUMBER, RANK)",Ch 10,3,Advanced Querying,2024-01-30,High interview frequency per Ch 16
C010,CTEs (WITH clause),Ch 10,3,Advanced Querying,2024-02-03,Mirrors progressive layering pyramid from Ch 1
C011,CASE WHEN expressions,Ch 7,2,Conditional Logic,2024-01-21,Bridges tutorial SQL to production SQL (Ch 16)
C012,Data type casting and conversion,Ch 9,2,Data Handling,2024-01-27,Messy production data — expect imperfection (Ch 16)
C013,"NULL functions (COALESCE, NULLIF)",Ch 9,2,Data Handling,2024-01-28,Critical for real datasets; tutorials skip this
C014,"String functions (TRIM, CONCAT, LIKE)",Ch 4,1,Data Handling,2024-01-11,Production data is inconsistent — Ch 16 warning
C015,Index basics and query performance,Ch 13,3,Performance,2024-02-10,Gap between tutorial SQL and production SQL (Ch 16)
Log ID,Concept ID,SQL Concept,Review Date,Days Since Last Review,Recall Score (0–10),Active Recall Method Used,Confidence Rating (1–5),Next Review Date,Interval (Days),Review Round,Forgetting Curve Risk (Auto)
R001,C001,SELECT and FROM basics,2024-01-09,1,9,Wrote query from blank editor,5,2024-01-12,3,1,Low
R002,C001,SELECT and FROM basics,2024-01-12,3,8,Explained concept aloud without notes,5,2024-01-19,7,2,Low
R003,C002,WHERE clause filtering,2024-01-11,2,7,Wrote query from blank editor,4,2024-01-15,4,1,Medium
R004,C002,WHERE clause filtering,2024-01-15,4,8,Solved practice problem without hints,4,2024-01-22,7,2,Low
R005,C004,Aggregate functions,2024-01-14,2,6,Wrote query from blank editor,3,2024-01-17,3,1,Medium
R006,C004,Aggregate functions,2024-01-17,3,7,Explained concept aloud without notes,4,2024-01-24,7,2,Low
R007,C005,GROUP BY and HAVING,2024-01-17,3,5,Wrote query from blank editor,2,2024-01-19,2,1,High
R008,C005,GROUP BY and HAVING,2024-01-19,2,6,Solved practice problem without hints,3,2024-01-23,4,2,Medium
R009,C006,INNER JOIN,2024-01-20,3,7,Wrote query from blank editor,3,2024-01-24,4,1,Medium
R010,C007,LEFT JOIN and NULL handling,2024-01-22,3,5,Explained concept aloud without notes,2,2024-01-24,2,1,High
R011,C008,Subqueries,2024-01-26,3,6,Wrote query from blank editor,3,2024-01-30,4,1,Medium
R012,C009,Window functions,2024-02-03,4,4,Solved practice problem without hints,2,2024-02-06,3,1,High
R013,C010,CTEs (WITH clause),2024-02-07,4,5,Wrote query from blank editor,2,2024-02-11,4,1,High
R014,C011,CASE WHEN expressions,2024-01-24,3,8,Solved practice problem without hints,4,2024-01-31,7,1,Low
R015,C013,NULL functions,2024-01-31,3,6,Wrote query from blank editor,3,2024-02-04,4,1,Medium
Week,Dates (Example Cohort Start 2024-01-08),Concepts Scheduled for Review,Skill Layer Focus,Review Session Goal,Active Recall Method,Estimated Session Length (min),Ch 16 Milestone
1,Jan 08 – Jan 14,"C001, C002, C003, C014",Layer 1 — Foundation,First exposure + Day-1 recall,Write every concept from blank editor,45,—
2,Jan 15 – Jan 21,"C001, C002, C004, C005, C003",Layer 1 + Layer 2 intro,Reinforce foundation; introduce aggregation,Explain aloud without notes,60,—
3,Jan 22 – Jan 28,"C002, C004, C005, C006, C007, C014",Layer 2 — Joins,Consolidate aggregation; begin JOIN layering,Solve practice problems without hints,75,—
4,Jan 29 – Feb 04,"C001, C006, C007, C008, C011",Layer 2 — Advanced Filtering,Subquery introduction on solid JOIN base,Write multi-table queries from memory,75,—
5,Feb 05 – Feb 11,"C004, C005, C008, C009, C012, C013",Layer 2–3 Bridge,Window functions; NULL handling in real data,Solve practice problems without hints,90,Draft portfolio dataset chosen
6,Feb 12 – Feb 18,"C006, C007, C009, C010, C015",Layer 3 — Advanced,CTEs and performance basics,Write CTEs from blank editor,90,—
7,Feb 19 – Feb 25,C001–C007 (full Layer 1–2 sweep),Layer 1 + 2 Consolidation,Prevent forgetting curve erosion on foundations,Mixed: write + explain aloud,60,Portfolio first query documented
8,Feb 26 – Mar 03,"C008, C009, C010, C011, C015",Layer 3 Consolidation
